longitude,latitude,rough_climate_r4750,rough_terrain_soil_r4750
-48.60896291781246,-13.379283262855123,0.019620814251375598,1.1438114730478783
-46.92686754829865,-14.935614492592196,0.03610319191919286,1.385697274040594
-48.260865745216144,-14.749214071137395,0.027234131721569407,1.539375541234653
-48.13510160543941,-15.663249872729008,0.017342037368030094,0.9155190701222214
-48.144084758280606,-16.307791089084763,0.015802372927137837,1.0491966291285555
-49.316386204056585,-16.332494759398053,0.023257070463767526,0.964225156816659
-47.683698175169354,-16.395376829286416,0.01676186074379974,0.8860328943721546
-48.283323627319135,-13.790262505339806,0.013390742009714112,1.321577257820261
-47.6050955878089,-16.152831702574147,0.017560230990156786,0.818367007199805
-50.36292351005583,-13.100805524778073,0.011323106324029691,0.5784964984149482
-47.9734048542979,-17.900054930186617,0.01557770075675184,1.0248759957801474
-49.13447735902238,-18.24815210278293,0.01815201850379346,1.0622257644830413
-52.06298518525202,-16.440292593492394,0.013747802736092772,1.1649179998158654
-48.66510762306993,-13.269239640550483,0.019217723961389925,1.0225102359793607
-48.77290545716427,-15.946219187226657,0.019910886953688124,0.9125273517696048
-51.638531213505544,-15.2994321826606,0.014895362880002901,0.6561080220160868
-48.61794607065365,-17.98539488217797,0.01895645891244855,0.9269153742138029
-50.34046562795284,-16.979281763964106,0.016633849441035096,0.6704178979205988
-52.51438861552208,-16.491945722329266,0.024462264180508165,0.807511241569319
-49.14346051186357,-16.375164735393728,0.023092294375683185,0.905168954349944
-49.16367260575626,-14.201241747824486,0.016648607022597236,0.9568002548352208
-50.63690967171228,-15.418458957806438,0.01935328294159851,0.6562415254183779
-48.727989692958296,-14.973792892167275,0.030282095469467623,1.0658527575135517
-48.02281219492447,-14.32476009939092,0.017426703527310246,1.1925467466756257
-46.97852067713553,-14.446032662747056,0.03970629205176541,0.49826837707026667
-47.17165846322123,-14.041790784893271,0.038451467539627825,1.500906171297881
-50.92437056263053,-16.31003687729506,0.01596542492531133,0.8799617034320318
-48.63366658812575,-15.247779053823729,0.0317456370072393,0.8253065644829215
