NM_MUN,delta_other_crops,suit_soybean,suit_sugarcane,underused_soybean,underused_sugarcane,zone,opportunity
Santa Isabel,-0.05896582165999027,0.6415720557469617,0.7219314477720761,0.6625982293180448,0.5708172928172155,4.968548323840194,0.42510450811787476
Itajá,-0.03349453994746414,0.5343453765339278,0.4528621959321403,0.656773583374917,0.458975191070875,2.565190863663614,0.350943927706007
Aurilândia,-0.0607959587146088,0.6222483896669204,0.6893106254561079,0.6671336968022197,0.7379370615658283,7.450959152476536,0.41512286852772073
Santa Fé de Goiás,-0.10104165253026928,0.48856143371416366,0.4179562332622197,0.5577992067472965,0.45029216484103257,4.560600863160821,0.2725191801730824
Itapuranga,-0.06002068099911865,0.5657325151208762,0.6426078485545389,0.6252000636682913,0.6770825692649395,3.833514937109226,0.35369600447279437
Santa Cruz de Goiás,-0.015845889314631118,0.5430837271266535,0.596601431958662,0.3379442943058644,0.6112622062105506,0.6328351289422223,0.18353204691281558
Itapirapuã,-0.09167037956700445,0.4505012570781123,0.3532800330971236,0.5455626649820428,0.3465213143733684,4.236471415305762,0.2457766663892953
Avelinópolis,-0.055002844345598816,0.7413759750320362,0.828120961339279,0.7385210054032525,0.7960852162331016,1.7762572689886222,0.547521730462476
Quirinópolis,-0.05890091007878157,0.754894455922593,0.760296427622939,0.6748511782422917,0.561043118001414,7.514926979258254,0.5094414130279356
Rialma,-0.05771679494157172,0.6261752612361196,0.7092553954720388,0.6152010198851313,0.5592545375688355,6.393129794402019,0.3852236593392993
Professor Jamil,-0.035454396417720434,0.6027355337536922,0.7038971700613471,0.6424476988405425,0.7417697081311146,7.241830856130858,0.3872260566694857
Araguapaz,-0.08508903841019567,0.42638498490708465,0.3167761947826799,0.5870644102491326,0.3586438487679905,4.321185253513692,0.25031544970356295
Itaberaí,-0.05937779103894332,0.6990954116914133,0.7724763705820545,0.5546426043504188,0.7683960415324189,2.920821358156807,0.3877480998299537
Rio Verde,-0.03976906052312261,0.7280512201013926,0.7670289881652573,0.21373638208949342,0.7513884807398526,6.454768431647739,0.1556110337603131
