k,inertia,silhouette,davies_bouldin,gap,s_k,ari,ari_std
2,71560.91621034869,0.17976638302598877,1.9365712289190469,1.9910213018033023,0.0029573367803603706,0.9755596668208409,0.013542734843940838
3,63965.62068332637,0.15946420684075882,2.0265912548183644,2.02902830289918,0.0031491075525259017,0.9065137212309151,0.18894818365055469
4,57650.12787331673,0.16293894751852211,1.8048610241190706,2.0641256167846525,0.0016176897559982064,0.9272818402607467,0.0749595665846526
5,52792.575894532856,0.17066979488171727,1.6820920451039665,2.104718457298935,0.004003701727310294,0.9517817919890098,0.017535565229326547
6,49067.50353159682,0.17036481620181115,1.6028662459422325,2.13121772358026,0.0023307108286121257,0.8598908401138733,0.1432091893065174
7,45601.93502883816,0.18047284543619094,1.5569199859028926,2.1644725814705303,0.002576166702912477,0.8658870789457024,0.14081364784680872
8,43118.65862959772,0.18072089824943954,1.5790864189774405,2.1779210777318188,0.0027416555495012682,0.7969221359389059,0.18626587771373324
9,40706.76730890874,0.16887361994299496,1.5348782558507639,2.2058417161888446,0.0023488166708192752,0.9673839372927884,0.011120829791229562
10,39192.24872226907,0.1715467960648902,1.5514697974866722,2.217685135764368,0.002320891382714978,0.9061123689618013,0.08653854106839722
