NM_MUN,SIGLA_UF,delta_cattle,delta_conservation,delta_other_crops,delta_pisciculture,delta_solar,delta_soybean,delta_sugarcane,suit_cattle,suit_conservation,suit_other_crops,suit_pisciculture,suit_solar,suit_soybean,suit_sugarcane,underused_other_crops,underused_pisciculture,underused_soybean,underused_sugarcane,zone
Hidrolândia,GO,0.0,-0.0798,-0.0353,0.0067,-0.0334,0.0,0.0,0.7197,0.4888,0.5352,0.2164,0.3458,0.6314,0.7046,0.667,0.0894,0.6029,0.7243,4
Aporé,GO,-0.0,-0.0829,-0.0286,0.0105,-0.0018,0.0,0.0,0.0958,0.4139,0.5677,0.2106,0.022,0.6485,0.6539,0.7551,0.1313,0.711,0.6545,2
Araçu,GO,0.0,-0.0828,-0.0542,0.0048,-0.0418,0.0019,0.0,0.8445,0.4253,0.6569,0.2495,0.4025,0.7272,0.8225,0.7739,0.1277,0.738,0.8513,3
Ipameri,GO,0.0,-0.0788,-0.0086,0.0099,-0.0212,0.0,0.0032,0.6336,0.4064,0.4201,0.1266,0.2892,0.5304,0.592,0.5462,0.0369,0.3253,0.6117,0
Ipiranga de Goiás,GO,0.0,-0.0867,-0.0758,0.0,-0.0615,-0.0006,0.0,0.6472,0.4204,0.5336,0.2068,0.4298,0.633,0.713,0.6374,0.0553,0.6233,0.5569,6
Indiara,GO,0.0,-0.0789,-0.057,0.0039,-0.0387,0.0,0.0,0.4929,0.3511,0.5802,0.3243,0.3359,0.7525,0.7799,0.7878,0.1852,0.4952,0.7762,9
Inaciolândia,GO,0.0,-0.0807,-0.0704,0.007,-0.0235,0.0,0.0,0.3164,0.3777,0.7308,0.464,0.2051,0.8896,0.8936,0.8844,0.2856,0.5726,0.6223,9
Inhumas,GO,0.0,-0.0829,-0.0372,0.0042,-0.0345,0.0013,0.0,0.8073,0.4628,0.4914,0.1777,0.3462,0.5373,0.6715,0.5623,0.0911,0.5342,0.6693,2
Pires do Rio,GO,0.0,-0.0787,-0.0109,0.0078,-0.0238,0.0,0.0002,0.6597,0.4867,0.4318,0.1153,0.3074,0.5413,0.6269,0.5632,0.0523,0.4672,0.6564,1
Aragoiânia,GO,0.0,-0.08,-0.0442,0.0059,-0.0367,0.0,0.0,0.7486,0.4815,0.5905,0.2394,0.3623,0.6766,0.7419,0.7183,0.0721,0.712,0.7572,7
Guaraíta,GO,0.0,-0.0862,-0.0606,0.0,-0.0472,0.0,0.0,0.6764,0.4285,0.4899,0.1262,0.36,0.5785,0.6874,0.6284,0.0035,0.6669,0.7619,4
Anápolis,GO,0.0,-0.0833,-0.017,0.0071,-0.0269,0.0,0.0,0.7031,0.5085,0.4329,0.1295,0.3314,0.4766,0.5734,0.5096,0.0281,0.4153,0.5982,5
Guarani de Goiás,GO,-0.0188,-0.0365,-0.048,0.0002,-0.0328,0.0,-0.0357,0.5894,0.5041,0.4071,0.0807,0.2774,0.5126,0.5363,0.5166,0.0181,0.507,0.5572,8
Anhanguera,GO,0.0,-0.0766,-0.0137,0.0113,-0.0191,0.0,0.0,0.5728,0.5395,0.4231,0.1938,0.2403,0.5499,0.6343,0.5633,0.1633,0.6033,0.667,1
Guapó,GO,0.0,-0.0802,-0.0492,0.0046,-0.0405,0.0,0.0,0.7015,0.4591,0.6029,0.2316,0.3861,0.7108,0.7745,0.7373,0.0843,0.7066,0.7961,7
Heitoraí,GO,0.0,-0.0856,-0.0537,0.0015,-0.0439,0.0,0.0,0.7068,0.4175,0.5082,0.263,0.3739,0.5832,0.6713,0.5908,0.209,0.5524,0.6823,5
Aparecida de Goiânia,GO,0.0,-0.0807,-0.0134,0.0031,-0.0137,0.0,0.0,0.3602,0.469,0.2244,0.0886,0.1485,0.2626,0.2982,0.2804,0.047,0.2878,0.309,7
Planaltina,GO,0.0,-0.088,-0.003,0.0067,-0.0114,0.0,0.0058,0.5846,0.5868,0.2043,0.0597,0.1862,0.2394,0.2598,0.2413,0.0125,0.1213,0.2646,2
Pontalina,GO,0.0,-0.0779,-0.0475,0.0037,-0.0318,0.0,0.0,0.5229,0.3295,0.5203,0.2341,0.281,0.6633,0.7281,0.6822,0.1223,0.4171,0.7433,9
Aparecida do Rio Doce,GO,0.0,-0.0824,-0.032,0.0148,-0.0035,0.0,0.0,0.3333,0.4152,0.5967,0.3054,0.0407,0.6787,0.6813,0.7878,0.2234,0.7614,0.784,3
Guarinos,GO,0.0,-0.0858,-0.0706,0.0,-0.0732,-0.0109,0.0,0.5327,0.4206,0.3313,0.1021,0.2716,0.3718,0.404,0.446,0.0603,0.463,0.5004,4
Anicuns,GO,0.0,-0.0829,-0.0593,0.003,-0.0431,0.0014,0.0,0.8543,0.4625,0.6381,0.2255,0.3905,0.6994,0.7955,0.7403,0.0841,0.6922,0.7412,3
Goianira,GO,0.0,-0.0821,-0.0355,0.0091,-0.0355,0.0018,0.0,0.6882,0.4346,0.5332,0.3028,0.3726,0.6152,0.673,0.6317,0.2248,0.5546,0.6711,6
Alto Paraíso de Goiás,GO,0.0,-0.0837,-0.011,0.0024,-0.0117,0.0,0.0,0.7299,0.6418,0.2006,0.0556,0.1387,0.2284,0.255,0.2365,0.0358,0.1739,0.2615,2
Pilar de Goiás,GO,0.0,-0.0831,-0.067,0.0,-0.0667,-0.0103,0.0,0.552,0.4643,0.3204,0.0986,0.2731,0.3736,0.4337,0.4132,0.0668,0.4344,0.5013,4
Goiânia,GO,0.0,-0.0815,-0.0171,0.0053,-0.0189,0.0001,0.0,0.4276,0.4821,0.2945,0.146,0.2084,0.3423,0.3761,0.3545,0.0865,0.3457,0.3845,7
Aloândia,GO,0.0,-0.0784,-0.0603,0.0061,-0.036,0.0,0.0,0.5471,0.3094,0.6651,0.38,0.3183,0.8301,0.87,0.8542,0.2526,0.6111,0.8933,9
Pirenópolis,GO,0.0,-0.0858,-0.0134,0.004,-0.0195,0.0,0.0,0.6751,0.5797,0.2697,0.094,0.2285,0.3153,0.3892,0.3231,0.0465,0.3182,0.4045,2
Alto Horizonte,GO,0.0,-0.0789,-0.1049,0.0,-0.1002,-0.0163,0.0,0.502,0.4556,0.4583,0.3005,0.3349,0.4882,0.4342,0.6526,0.3019,0.6418,0.5504,4
Amorinópolis,GO,0.0,-0.0855,-0.0609,0.0001,-0.0419,0.0,0.0,0.554,0.345,0.5077,0.107,0.3194,0.5939,0.652,0.6752,0.0171,0.5939,0.744,6
Piracanjuba,GO,0.0,-0.0782,-0.0327,0.0095,-0.0326,0.0,0.0,0.6719,0.4169,0.5807,0.2554,0.3516,0.7174,0.7783,0.7473,0.14,0.4496,0.7941,3
Piranhas,GO,0.0,-0.0889,-0.0622,0.0,-0.0403,-0.0013,0.0,0.4887,0.3713,0.4716,0.2006,0.2735,0.5407,0.5231,0.6554,0.1623,0.5619,0.6031,5
Americano do Brasil,GO,0.0,-0.0835,-0.0639,0.0018,-0.0425,0.0007,0.0,0.8741,0.4794,0.6465,0.1738,0.3723,0.6907,0.7969,0.7367,0.0,0.6839,0.7896,2
Gouvelândia,GO,0.0,-0.0802,-0.0683,0.0061,-0.0207,0.0,0.0,0.1291,0.3062,0.7027,0.3861,0.1822,0.8622,0.8646,0.8687,0.1558,0.7207,0.4218,9
Goiatuba,GO,0.0,-0.0792,-0.0651,0.0048,-0.0314,0.0,0.0,0.5508,0.3385,0.6904,0.3283,0.2753,0.8167,0.8385,0.8248,0.1458,0.3331,0.6677,9
Goiás,GO,0.0,-0.0857,-0.0505,0.0003,-0.0381,-0.0006,0.0,0.6013,0.5191,0.3869,0.125,0.2765,0.4382,0.4779,0.5128,0.0818,0.5164,0.566,4
Amaralina,GO,0.0,-0.0798,-0.1225,0.0,-0.112,-0.021,0.0,0.5269,0.4066,0.4607,0.1862,0.2813,0.5077,0.4552,0.6716,0.0895,0.6429,0.5824,4
Alvorada do Norte,GO,-0.0148,-0.038,-0.0361,0.0023,-0.0405,0.0,-0.028,0.4646,0.4615,0.3777,0.1693,0.3703,0.4683,0.465,0.5209,0.1415,0.4991,0.5146,5
Acreúna,GO,0.0,-0.0775,-0.0718,0.0032,-0.0361,0.0,0.0,0.5122,0.3616,0.656,0.3664,0.2967,0.7825,0.7869,0.7801,0.1933,0.4272,0.6553,9
Divinópolis de Goiás,GO,-0.019,-0.0358,-0.0503,0.0,-0.0385,0.0,-0.0334,0.595,0.4735,0.3751,0.0969,0.3073,0.4978,0.5292,0.5049,0.0578,0.5161,0.5417,8
Perolândia,GO,0.0,-0.0899,-0.0182,0.014,-0.006,0.009,0.0029,0.7205,0.3436,0.6936,0.1862,0.0811,0.731,0.7902,0.78,0.0512,0.17,0.7366,1
Abadiânia,GO,0.0,-0.0841,-0.0095,0.0084,-0.0237,0.0,0.0021,0.6986,0.4962,0.3757,0.1109,0.3213,0.4355,0.5489,0.4538,0.0317,0.3307,0.5813,1
Paraúna,GO,0.0,-0.0809,-0.0619,0.0025,-0.0318,0.0,0.0,0.6225,0.4215,0.5896,0.2556,0.2677,0.6869,0.7075,0.7182,0.1291,0.3102,0.7052,9
Água Fria de Goiás,GO,0.0,-0.0878,-0.01,0.0061,-0.0186,0.0,0.0011,0.7136,0.4512,0.3056,0.0834,0.2484,0.3577,0.3968,0.3679,0.0177,0.1544,0.4018,1
Adelândia,GO,0.0,-0.0832,-0.0725,0.0026,-0.0468,0.001,0.0,0.8451,0.5075,0.6984,0.3088,0.3977,0.7841,0.8568,0.8184,0.2144,0.8177,0.8736,4
Gameleira de Goiás,GO,0.0,-0.0828,-0.0118,0.0132,-0.0301,0.0,0.0033,0.7225,0.4862,0.5722,0.1694,0.42,0.6508,0.7286,0.7099,0.0631,0.2097,0.7488,0
Petrolina de Goiás,GO,0.0,-0.0839,-0.0322,0.0043,-0.0365,0.0,0.0,0.7495,0.5258,0.4777,0.1495,0.3863,0.5383,0.644,0.5517,0.0361,0.5533,0.6562,2
Abadia de Goiás,GO,0.0,-0.0808,-0.0378,0.0042,-0.0347,0.0,0.0,0.7314,0.4206,0.5139,0.1673,0.3468,0.5789,0.6752,0.6162,0.0,0.5978,0.703,7
Goianésia,GO,0.0,-0.0868,-0.0371,0.0032,-0.0391,0.0,0.0,0.6415,0.3848,0.4237,0.1724,0.3729,0.5151,0.602,0.5198,0.0707,0.517,0.5186,5
Águas Lindas de Goiás,GO,0.0,-0.0868,-0.002,0.0067,-0.0098,0.0,0.0043,0.4851,0.5533,0.1804,0.0659,0.1563,0.2128,0.242,0.2218,0.0248,0.2121,0.2563,7
Goianápolis,GO,0.0,-0.0821,-0.0178,0.0064,-0.0268,0.0,0.0,0.7323,0.5331,0.4225,0.1283,0.3228,0.4764,0.5722,0.4976,0.0173,0.4054,0.5987,6
Água Limpa,GO,0.0,-0.0776,-0.0173,0.0044,-0.0208,0.0,0.0,0.5602,0.517,0.3218,0.1151,0.2285,0.3969,0.5473,0.3762,0.0832,0.431,0.6044,5
Goiandira,GO,0.0,-0.0771,-0.012,0.0047,-0.0244,0.0,0.0,0.5491,0.505,0.4274,0.0747,0.3133,0.5691,0.6589,0.5821,0.0255,0.5786,0.7031,2
Alexânia,GO,0.0,-0.0848,-0.0049,0.0096,-0.0195,0.0,0.006,0.6396,0.5406,0.3405,0.1051,0.2944,0.3975,0.4939,0.4149,0.0153,0.3114,0.5253,0
Panamá,GO,0.0,-0.0801,-0.0573,0.0049,-0.03,0.0,0.0,0.5557,0.4275,0.6483,0.2881,0.2694,0.784,0.8197,0.7971,0.1283,0.5088,0.6981,9
Firminópolis,GO,0.0,-0.0819,-0.0698,0.0019,-0.0492,0.0003,0.0,0.6143,0.3773,0.6631,0.2255,0.4139,0.8344,0.8744,0.8889,0.0647,0.7309,0.9123,8
Palminópolis,GO,0.0,-0.0808,-0.0642,0.0032,-0.0486,0.0,0.0,0.5397,0.3771,0.631,0.3278,0.4168,0.8178,0.8603,0.8534,0.1507,0.6614,0.9029,9
Paranaiguara,GO,0.0,-0.0776,-0.0549,0.0054,-0.0041,0.0,0.0,0.0887,0.3619,0.636,0.2566,0.039,0.7488,0.7301,0.842,0.1766,0.789,0.5561,7
Formoso,GO,0.0,-0.0736,-0.0608,0.0,-0.0463,-0.0041,0.0,0.6066,0.4355,0.3429,0.1263,0.2789,0.4001,0.4143,0.4623,0.0597,0.47,0.4892,4
Flores de Goiás,GO,-0.0051,-0.0508,-0.0305,0.0057,-0.0408,0.0,-0.0131,0.4823,0.3945,0.437,0.1905,0.4344,0.5745,0.575,0.6117,0.1389,0.6038,0.6275,4
Formosa,GO,0.0,-0.0771,-0.007,0.0091,-0.0199,0.0,0.0033,0.603,0.4232,0.2971,0.1075,0.2844,0.3834,0.3946,0.3892,0.0615,0.3535,0.4074,2
Ouvidor,GO,0.0,-0.0773,-0.0064,0.0064,-0.0192,0.0,0.0025,0.5365,0.5042,0.3604,0.0813,0.2691,0.4763,0.5835,0.4697,0.0097,0.4502,0.6139,2
Orizona,GO,0.0,-0.0802,-0.0074,0.0106,-0.0236,0.0,0.0051,0.655,0.4508,0.4661,0.1267,0.3361,0.5817,0.6739,0.6052,0.0692,0.401,0.7073,0
Doverlândia,GO,0.0,-0.0911,-0.0332,0.002,-0.0187,0.0015,0.0,0.4926,0.4162,0.4417,0.1197,0.1811,0.4381,0.423,0.6074,0.0695,0.4577,0.4959,2
Ouro Verde de Goiás,GO,0.0,-0.0833,-0.0233,0.0034,-0.0292,0.0,0.0,0.8307,0.5404,0.4149,0.0905,0.3277,0.443,0.6287,0.4654,0.0,0.4773,0.677,2
Edealina,GO,0.0,-0.0779,-0.0574,0.0043,-0.0359,0.0,0.0,0.4974,0.3434,0.6003,0.3162,0.3128,0.7783,0.8096,0.8058,0.2001,0.364,0.8354,9
Palmeiras de Goiás,GO,0.0,-0.0808,-0.058,0.0044,-0.0441,0.0001,0.0,0.6121,0.4001,0.6263,0.3074,0.3973,0.7878,0.8208,0.8192,0.1323,0.4872,0.8415,8
Palmelo,GO,0.0,-0.0785,-0.0138,0.0076,-0.028,0.0,0.0,0.6548,0.4981,0.52,0.1153,0.3578,0.6644,0.7403,0.6843,0.0,0.5853,0.7673,0
Padre Bernardo,GO,0.0,-0.088,-0.009,0.0101,-0.0215,0.0,0.0022,0.5428,0.5222,0.3139,0.1455,0.2939,0.4142,0.4401,0.417,0.0898,0.2743,0.4531,1
Faina,GO,0.0,-0.0877,-0.0592,0.0,-0.0458,-0.0044,0.0,0.4951,0.4498,0.3586,0.1113,0.2654,0.3927,0.3878,0.4988,0.0635,0.5109,0.4734,4
