NM_MUN,SIGLA_UF,delta_cattle,delta_conservation,delta_other_crops,delta_pisciculture,delta_solar,delta_soybean,delta_sugarcane,suit_cattle,suit_conservation,suit_other_crops,suit_pisciculture,suit_solar,suit_soybean,suit_sugarcane,underused_other_crops,underused_pisciculture,underused_soybean,underused_sugarcane,zone
Vicentinópolis,GO,0.0,-0.0782,-0.0683,0.0047,-0.0358,0.0,0.0,0.5317,0.2723,0.6872,0.3754,0.3059,0.833,0.8406,0.831,0.1732,0.3626,0.6354,9
Córrego do Ouro,GO,0.0,-0.0838,-0.0495,0.0002,-0.0341,0.0,0.0,0.6828,0.4542,0.4069,0.1038,0.2592,0.4637,0.5617,0.4929,0.0901,0.516,0.616,5
Morro Agudo de Goiás,GO,0.0,-0.0874,-0.0743,0.0,-0.0494,-0.002,0.0,0.7026,0.4759,0.4975,0.0701,0.3259,0.5424,0.6255,0.6171,0.0006,0.635,0.7194,4
Corumbá de Goiás,GO,0.0,-0.0856,-0.0098,0.0072,-0.0237,0.0,0.0019,0.7567,0.5532,0.3823,0.0967,0.3227,0.434,0.5559,0.4468,0.0191,0.3778,0.589,0
Mundo Novo,GO,0.0,-0.0823,-0.1674,0.0,-0.0875,-0.0238,0.0,0.5508,0.4596,0.4787,0.2565,0.19,0.4373,0.34,0.7083,0.1481,0.5574,0.3691,6
Vila Propício,GO,0.0,-0.0873,-0.0233,0.0074,-0.032,0.0,0.0,0.5812,0.3952,0.3927,0.2057,0.3599,0.5025,0.5277,0.5107,0.14,0.4053,0.4241,2
Mutunópolis,GO,0.0,-0.0779,-0.1145,0.0,-0.1001,-0.0174,0.0,0.5328,0.3351,0.4989,0.2582,0.3518,0.5512,0.4965,0.733,0.1618,0.717,0.6478,4
Uruaçu,GO,0.0,-0.077,-0.0576,0.0,-0.0468,-0.0047,0.0,0.5148,0.3739,0.33,0.1657,0.2716,0.4195,0.459,0.4552,0.0905,0.3567,0.4712,4
Uirapuru,GO,0.0,-0.0822,-0.1262,0.0,-0.1076,-0.0217,0.0,0.4704,0.3859,0.4455,0.2049,0.2321,0.459,0.3551,0.6697,0.1525,0.6362,0.4255,5
Moiporá,GO,0.0,-0.0841,-0.0422,0.0001,-0.0308,0.0,0.0,0.6012,0.4102,0.3477,0.1107,0.2341,0.4,0.4855,0.4287,0.0672,0.4441,0.5496,5
Uruana,GO,0.0,-0.0861,-0.0596,0.0024,-0.0529,0.0,0.0,0.6012,0.399,0.5777,0.3487,0.4591,0.706,0.7565,0.7414,0.2664,0.7478,0.7592,7
Monte Alegre de Goiás,GO,-0.0137,-0.0444,-0.0306,0.0003,-0.0223,0.0,-0.0149,0.5445,0.5184,0.2453,0.0826,0.1873,0.3136,0.3184,0.3326,0.0387,0.3351,0.3411,6
Turvânia,GO,0.0,-0.0821,-0.0663,0.0038,-0.0474,0.0011,0.0,0.7425,0.4044,0.6828,0.3399,0.4176,0.8151,0.8595,0.8427,0.2056,0.5804,0.8666,6
Corumbaíba,GO,0.0,-0.0769,-0.0161,0.0055,-0.0207,0.0,0.0,0.5422,0.4654,0.3857,0.1155,0.245,0.5086,0.6184,0.5092,0.0498,0.5054,0.6648,2
Trombas,GO,0.0,-0.0728,-0.0648,0.0,-0.0464,-0.0037,0.0,0.5661,0.4703,0.3649,0.1796,0.2804,0.4018,0.3696,0.5221,0.1424,0.4804,0.4408,4
Turvelândia,GO,0.0,-0.0778,-0.0758,0.0047,-0.0318,0.0,0.0,0.4518,0.3118,0.7091,0.4489,0.2654,0.8324,0.8353,0.8274,0.2726,0.3174,0.6836,9
Caturaí,GO,0.0,-0.0823,-0.0468,0.0059,-0.0402,0.0025,0.0,0.8105,0.4422,0.6188,0.2584,0.4018,0.6995,0.7959,0.7331,0.1266,0.7129,0.7935,3
Cavalcante,GO,0.0,-0.0808,-0.0059,0.0003,-0.0034,0.0,0.0,0.6175,0.6678,0.0735,0.0161,0.0359,0.0817,0.0889,0.0902,0.0106,0.0884,0.0986,4
Valparaíso de Goiás,GO,0.0,-0.0846,-0.0007,0.0024,-0.0025,0.0,0.0021,0.3126,0.5192,0.0711,0.0212,0.0422,0.0833,0.0869,0.0869,0.0,0.0877,0.0906,7
Catalão,GO,0.0,-0.0783,-0.0064,0.0094,-0.0204,0.0,0.0047,0.5992,0.4088,0.4327,0.1092,0.2931,0.5432,0.6207,0.551,0.0304,0.2938,0.6466,1
Montividiu,GO,0.0,-0.0847,-0.0409,0.0107,-0.021,0.0037,0.0,0.6935,0.3116,0.7343,0.2419,0.2326,0.7966,0.8407,0.8374,0.1529,0.0844,0.8383,8
Varjão,GO,0.0,-0.0795,-0.0337,0.0029,-0.0299,0.0,0.0,0.5732,0.5278,0.3894,0.1687,0.2757,0.4962,0.5982,0.4854,0.133,0.4832,0.6246,8
Montes Claros de Goiás,GO,0.0,-0.0894,-0.0907,0.0,-0.0689,-0.01,0.0,0.4505,0.3524,0.5048,0.2614,0.3186,0.4567,0.361,0.7187,0.1932,0.4821,0.3799,4
Cidade Ocidental,GO,0.0,-0.0843,-0.0035,0.0144,-0.0167,0.0,0.0128,0.6389,0.5208,0.3441,0.1175,0.2948,0.4099,0.45,0.4188,0.0533,0.3463,0.4745,3
Chapadão do Céu,GO,-0.0002,-0.0871,-0.0313,0.0072,-0.002,0.0,0.0,0.2033,0.4065,0.6586,0.1322,0.0244,0.7302,0.7742,0.7714,0.0397,0.2087,0.6692,2
Urutaí,GO,0.0,-0.0785,-0.0107,0.0096,-0.0263,0.0,0.0003,0.6566,0.4866,0.4422,0.1387,0.3401,0.5604,0.6505,0.5854,0.0575,0.5169,0.6863,0
Cezarina,GO,0.0,-0.0794,-0.0479,0.0049,-0.0382,0.0,0.0,0.5358,0.4142,0.5279,0.3099,0.345,0.6905,0.7391,0.7142,0.1978,0.5351,0.7649,9
Colinas do Sul,GO,0.0,-0.0782,-0.0086,0.0005,-0.004,0.0,0.0,0.5603,0.6463,0.092,0.0258,0.0393,0.1089,0.116,0.1259,0.016,0.1283,0.1347,4
Cocalzinho de Goiás,GO,0.0,-0.0873,-0.0068,0.0074,-0.0189,0.0,0.0022,0.6361,0.5366,0.2788,0.0954,0.2638,0.3422,0.4104,0.3426,0.0364,0.2837,0.4258,2
Marzagão,GO,0.0,-0.0773,-0.0176,0.0054,-0.0239,0.0,0.0,0.5635,0.5194,0.3743,0.1231,0.2718,0.4885,0.5983,0.4761,0.0416,0.4103,0.6386,3
Teresina de Goiás,GO,0.0,-0.0682,-0.0068,0.0004,-0.0065,0.0,0.0,0.5639,0.6637,0.0793,0.023,0.0673,0.0966,0.1004,0.1091,0.0157,0.1109,0.1158,4
Matrinchã,GO,0.0,-0.089,-0.0928,0.0,-0.0604,-0.0107,0.0,0.4782,0.3829,0.4868,0.2331,0.2773,0.4504,0.3369,0.7143,0.1162,0.562,0.3606,4
Ceres,GO,0.0,-0.0866,-0.0523,0.0001,-0.0395,0.0,0.0,0.6939,0.4946,0.4121,0.1606,0.3007,0.4689,0.6305,0.4676,0.1044,0.4869,0.636,3
Campinorte,GO,0.0,-0.0744,-0.0617,0.0,-0.0513,-0.0065,0.0,0.5787,0.3866,0.3338,0.1324,0.2819,0.4254,0.4612,0.4648,0.0241,0.3403,0.4926,5
Campo Alegre de Goiás,GO,0.0,-0.0793,-0.006,0.0105,-0.0204,0.0,0.0054,0.6815,0.3506,0.4472,0.1197,0.2942,0.5291,0.6049,0.5462,0.0306,0.2589,0.6148,0
Taquaral de Goiás,GO,0.0,-0.084,-0.0433,0.0023,-0.04,0.0003,0.0,0.7606,0.4135,0.4981,0.1466,0.3781,0.5564,0.6642,0.5795,0.0,0.547,0.665,2
Mara Rosa,GO,0.0,-0.0783,-0.1104,0.0,-0.1073,-0.017,0.0,0.5553,0.385,0.4753,0.1796,0.3402,0.5276,0.498,0.6769,0.0813,0.668,0.6236,5
Campestre de Goiás,GO,0.0,-0.0808,-0.038,0.0047,-0.0333,0.0,0.0,0.6548,0.5339,0.4538,0.2499,0.3157,0.5579,0.6202,0.5731,0.2034,0.5617,0.6472,7
Caldazinha,GO,0.0,-0.081,-0.0188,0.0089,-0.028,0.0,0.0,0.7398,0.5371,0.4469,0.1809,0.3351,0.5192,0.6454,0.5473,0.1385,0.5497,0.6836,3
Trindade,GO,0.0,-0.0815,-0.0421,0.0058,-0.0396,0.001,0.0,0.7187,0.4578,0.5577,0.2517,0.3941,0.6532,0.7317,0.674,0.1242,0.5991,0.751,6
Campinaçu,GO,0.0,-0.0709,-0.0215,0.0,-0.0151,-0.0,0.0,0.5494,0.5237,0.1455,0.0395,0.1102,0.182,0.2184,0.1804,0.0114,0.1799,0.2277,4
Mimoso de Goiás,GO,0.0,-0.0858,-0.0145,0.0063,-0.0184,0.0,0.0,0.5768,0.5162,0.2837,0.126,0.2183,0.3561,0.3889,0.3581,0.0758,0.2622,0.3954,2
Terezópolis de Goiás,GO,0.0,-0.0825,-0.0227,0.0128,-0.0331,0.0,0.0,0.7759,0.5361,0.5198,0.2647,0.3962,0.5853,0.6655,0.609,0.2008,0.5339,0.6891,7
Maurilândia,GO,0.0,-0.0787,-0.0761,0.0068,-0.0309,0.0,0.0,0.3116,0.3798,0.7308,0.5526,0.2623,0.873,0.8757,0.8724,0.4718,0.3453,0.6783,9
Três Ranchos,GO,0.0,-0.0768,-0.007,0.0096,-0.0152,0.0,0.0017,0.4726,0.4616,0.3652,0.1246,0.2109,0.4864,0.5971,0.4839,0.0282,0.5009,0.6388,1
Campos Verdes,GO,0.0,-0.0809,-0.1323,0.0,-0.1721,-0.0227,0.0,0.4508,0.3775,0.5255,0.252,0.3776,0.5618,0.4659,0.8036,0.1846,0.7829,0.5885,4
Mineiros,GO,-0.0,-0.0911,-0.0232,0.0036,-0.0045,0.0033,0.0002,0.4702,0.4585,0.4965,0.0698,0.0524,0.5102,0.5273,0.6131,0.0182,0.4373,0.5122,2
Castelândia,GO,0.0,-0.0791,-0.07,0.0047,-0.0294,0.0,0.0,0.2311,0.3707,0.6868,0.3553,0.2526,0.8382,0.851,0.8531,0.2359,0.5355,0.6958,9
Minaçu,GO,0.0,-0.0721,-0.0226,0.0,-0.0114,-0.0,0.0,0.5933,0.5986,0.1634,0.0651,0.09,0.191,0.2053,0.2125,0.045,0.2144,0.2285,4
Silvânia,GO,0.0,-0.0818,-0.0099,0.0136,-0.027,0.0,0.005,0.6924,0.4448,0.5279,0.1663,0.382,0.612,0.68,0.6569,0.0561,0.2696,0.703,0
Carmo do Rio Verde,GO,0.0,-0.0866,-0.0689,0.0007,-0.0519,0.0,0.0,0.6563,0.4998,0.5824,0.3547,0.4125,0.6961,0.7707,0.7334,0.307,0.7514,0.6933,5
Campo Limpo de Goiás,GO,0.0,-0.0832,-0.0238,0.0091,-0.0315,0.0,0.0,0.8009,0.5342,0.497,0.2015,0.3697,0.5449,0.6434,0.5575,0.0957,0.493,0.6581,5
Campos Belos,GO,-0.0185,-0.0355,-0.0459,0.0,-0.0359,0.0,-0.0243,0.5781,0.4496,0.3245,0.1251,0.2782,0.4189,0.4403,0.4315,0.0423,0.4315,0.4556,8
Senador Canedo,GO,0.0,-0.0812,-0.0186,0.0079,-0.0235,0.0,0.0,0.5697,0.5033,0.3798,0.1824,0.2705,0.4591,0.5193,0.4778,0.1236,0.4577,0.5379,7
Lagoa Santa,GO,0.0,-0.0735,-0.0354,0.0093,-0.0016,0.0,0.0,0.0716,0.3964,0.5714,0.2825,0.0191,0.515,0.3912,0.8271,0.1872,0.6576,0.3878,2
Cachoeira de Goiás,GO,0.0,-0.0827,-0.0483,0.0004,-0.0305,0.0,0.0,0.5916,0.4479,0.4307,0.0751,0.2462,0.4895,0.5244,0.5766,0.0147,0.579,0.6044,8
Serranópolis,GO,0.0,-0.0869,-0.0163,0.0069,-0.0015,0.001,0.0001,0.3322,0.4292,0.4343,0.1062,0.0186,0.4619,0.4792,0.5821,0.0506,0.468,0.5144,2
Leopoldo de Bulhões,GO,0.0,-0.0819,-0.0159,0.0089,-0.0275,0.0,0.0,0.7807,0.5042,0.4888,0.1447,0.3482,0.5368,0.6494,0.5683,0.0192,0.3456,0.6764,2
Cachoeira Dourada,GO,0.0,-0.0812,-0.0676,0.0064,-0.0255,0.0,0.0,0.4395,0.2949,0.7095,0.4437,0.2214,0.8453,0.8619,0.8492,0.3165,0.6511,0.5611,9
Cachoeira Alta,GO,0.0,-0.0804,-0.042,0.0075,-0.0043,0.0,0.0,0.104,0.2998,0.5804,0.2284,0.0444,0.6683,0.6753,0.7558,0.1335,0.7356,0.7071,3
Mambaí,GO,-0.017,-0.0367,-0.0187,0.0006,-0.0128,0.0,-0.016,0.5313,0.4758,0.1986,0.05,0.121,0.2347,0.2274,0.2699,0.0258,0.2591,0.2675,6
Sítio d'Abadia,GO,-0.0186,-0.0372,-0.0328,0.0008,-0.0249,0.0,-0.0311,0.5969,0.4229,0.3562,0.0662,0.2308,0.4414,0.4672,0.4648,0.0146,0.4292,0.4997,5
Simolândia,GO,-0.0156,-0.0373,-0.0563,0.0018,-0.0493,0.0,-0.04,0.4887,0.4393,0.5268,0.2288,0.4277,0.6441,0.6343,0.7108,0.2101,0.7053,0.6922,7
Luziânia,GO,0.0,-0.0825,-0.0036,0.0155,-0.0184,0.0,0.0114,0.6018,0.4229,0.3708,0.1392,0.3079,0.4463,0.5083,0.4601,0.064,0.3092,0.5381,2
Mairipotaba,GO,0.0,-0.0785,-0.0399,0.0035,-0.0304,0.0,0.0,0.5659,0.4255,0.4758,0.1785,0.2813,0.6086,0.6814,0.6243,0.0783,0.5171,0.7119,8
Caldas Novas,GO,0.0,-0.0772,-0.018,0.0084,-0.0233,0.0,0.0,0.5968,0.4813,0.4132,0.1777,0.2694,0.5377,0.5852,0.5521,0.0934,0.3534,0.599,4
Jataí,GO,0.0,-0.0861,-0.0199,0.0116,-0.0034,0.0043,0.0013,0.5297,0.3907,0.6039,0.1676,0.0444,0.671,0.7189,0.745,0.0868,0.3457,0.7392,2
São João da Paraúna,GO,0.0,-0.0809,-0.0707,0.0023,-0.0495,0.0,0.0,0.577,0.4309,0.6519,0.3196,0.409,0.8421,0.8831,0.855,0.1081,0.4305,0.9029,9
São Luiz do Norte,GO,0.0,-0.0865,-0.0704,0.0001,-0.0581,-0.0007,0.0,0.552,0.381,0.5037,0.3503,0.4174,0.6327,0.6468,0.6888,0.2725,0.6207,0.4036,4
Caçu,GO,0.0,-0.0785,-0.0379,0.01,-0.0021,0.0,-0.0,0.107,0.3212,0.582,0.283,0.0232,0.6108,0.5701,0.7892,0.202,0.7423,0.5566,3
Caiapônia,GO,0.0,-0.0886,-0.0293,0.0024,-0.0148,0.0017,0.0,0.5748,0.4256,0.4283,0.0865,0.15,0.4721,0.5106,0.5457,0.0358,0.4132,0.5702,4
São Luís de Montes Belos,GO,0.0,-0.0829,-0.0683,0.0007,-0.0491,0.0007,0.0,0.6724,0.4265,0.6205,0.1369,0.4025,0.7172,0.7699,0.8053,0.0749,0.8061,0.8627,7
São João d'Aliança,GO,-0.0,-0.0812,-0.0122,0.0054,-0.0181,0.0,0.0001,0.6595,0.5169,0.2661,0.0976,0.2221,0.3247,0.3414,0.3428,0.0552,0.2109,0.3538,3
Jaraguá,GO,0.0,-0.0856,-0.0376,0.0045,-0.0374,0.0,0.0,0.6427,0.4961,0.4591,0.2459,0.3668,0.559,0.6378,0.5821,0.2048,0.5827,0.6704,5
Bonópolis,GO,0.0,-0.0804,-0.1406,0.0,-0.1176,-0.0202,0.0,0.4721,0.4491,0.4359,0.2322,0.2546,0.3975,0.2818,0.6705,0.1301,0.4543,0.2703,5
Bonfinópolis,GO,0.0,-0.0817,-0.0174,0.0054,-0.0264,0.0,0.0,0.7229,0.5216,0.4214,0.1062,0.3192,0.4906,0.6012,0.5162,0.0018,0.4804,0.632,6
Joviânia,GO,0.0,-0.0787,-0.0604,0.0035,-0.0331,0.0,0.0,0.5519,0.3067,0.6358,0.2459,0.2876,0.7737,0.8166,0.7885,0.0693,0.2476,0.8093,9
São Simão,GO,0.0,-0.0667,-0.0532,0.0072,-0.0023,0.0,-0.0001,0.0824,0.3601,0.6301,0.3363,0.0228,0.6763,0.6111,0.867,0.1959,0.7674,0.5341,8
Jussara,GO,0.0,-0.0893,-0.0969,0.0,-0.0808,-0.0115,0.0,0.4882,0.3818,0.472,0.2345,0.2537,0.3774,0.2741,0.6553,0.1411,0.4355,0.2421,5
São Miguel do Araguaia,GO,0.0,-0.0824,-0.2274,0.0,-0.0852,-0.0213,0.0,0.5689,0.4343,0.4088,0.1963,0.1862,0.3318,0.2513,0.6298,0.1102,0.3863,0.2158,6
Brazabrantes,GO,0.0,-0.0826,-0.0389,0.0102,-0.0402,0.0013,0.0,0.8383,0.4731,0.5996,0.3319,0.4285,0.6605,0.7592,0.6763,0.2884,0.6782,0.7504,3
Jaupaci,GO,0.0,-0.0867,-0.0653,0.0,-0.0483,-0.0033,0.0,0.4949,0.4929,0.4343,0.2074,0.3008,0.481,0.4491,0.6151,0.1758,0.5913,0.5549,4
Buritinópolis,GO,-0.0197,-0.037,-0.0477,0.0008,-0.0385,0.0,-0.0412,0.6176,0.5036,0.4536,0.1215,0.3376,0.5585,0.6153,0.5745,0.0719,0.5953,0.6417,7
Buriti de Goiás,GO,0.0,-0.0844,-0.052,0.0,-0.039,0.0,0.0,0.5851,0.5435,0.4147,0.0412,0.2919,0.4906,0.562,0.5489,0.0,0.5862,0.669,4
São Patrício,GO,0.0,-0.0869,-0.0771,0.0,-0.0575,0.0,0.0,0.7485,0.537,0.5957,0.2449,0.4288,0.6688,0.7731,0.7127,0.1481,0.737,0.7145,4
São Miguel do Passa Quatro,GO,0.0,-0.0798,-0.0144,0.0082,-0.0256,0.0,0.0,0.7703,0.4571,0.4674,0.1323,0.3231,0.5232,0.6282,0.5572,0.033,0.3139,0.6522,1
Jesúpolis,GO,0.0,-0.0844,-0.0467,0.005,-0.0427,0.0,0.0,0.756,0.4606,0.6087,0.2214,0.4291,0.7025,0.7892,0.7535,0.0984,0.762,0.8198,4
Cabeceiras,GO,0.0,-0.0667,-0.0124,0.0145,-0.0331,0.0,-0.0015,0.6325,0.3279,0.5054,0.1898,0.4504,0.6349,0.6627,0.6364,0.0705,0.2954,0.6742,0
Britânia,GO,0.0,-0.0905,-0.1046,0.0,-0.1133,-0.0105,0.0,0.4637,0.3927,0.4627,0.258,0.2752,0.2611,0.1912,0.6971,0.2234,0.2108,0.0668,5
Buriti Alegre,GO,0.0,-0.0784,-0.0299,0.0037,-0.0238,0.0,0.0,0.5928,0.4499,0.4527,0.1206,0.244,0.5546,0.6435,0.5612,0.0297,0.407,0.6549,6
Santa Tereza de Goiás,GO,0.0,-0.0749,-0.0844,0.0,-0.0677,-0.0077,0.0,0.5249,0.345,0.4431,0.2583,0.367,0.4708,0.3937,0.6605,0.1975,0.5924,0.4779,4
Santa Rita do Novo Destino,GO,0.0,-0.0849,-0.0443,0.0005,-0.0422,-0.0,0.0,0.5643,0.371,0.3625,0.2127,0.3374,0.4575,0.4911,0.4837,0.1575,0.4097,0.4995,3
Barro Alto,GO,0.0,-0.0843,-0.0293,0.0022,-0.029,0.0,0.0,0.6013,0.4054,0.2916,0.1628,0.26,0.3663,0.4015,0.3598,0.1071,0.3225,0.3353,3
Santa Rita do Araguaia,GO,0.0,-0.0932,-0.0232,0.0035,-0.0068,0.0046,0.0,0.4528,0.5398,0.4247,0.0917,0.0755,0.4067,0.4088,0.5598,0.0553,0.4379,0.4481,2
Santa Rosa de Goiás,GO,0.0,-0.0839,-0.0464,0.0036,-0.0443,0.0004,0.0,0.7854,0.4415,0.5772,0.183,0.435,0.6571,0.7574,0.701,0.0,0.6095,0.7771,1
Itauçu,GO,0.0,-0.0834,-0.0397,0.0019,-0.035,0.0008,0.0,0.8428,0.4382,0.4759,0.1057,0.3363,0.5106,0.6851,0.5504,0.0,0.539,0.7212,2
São Domingos,GO,-0.0186,-0.0361,-0.0481,0.0003,-0.0267,0.0,-0.0334,0.5815,0.5021,0.3962,0.1214,0.226,0.5053,0.5158,0.5233,0.0651,0.4971,0.547,8
São Francisco de Goiás,GO,0.0,-0.0847,-0.0351,0.0085,-0.0394,0.0,0.0,0.72,0.5057,0.5424,0.2787,0.4245,0.6334,0.7144,0.67,0.2314,0.64,0.7448,3
Itarumã,GO,0.0,-0.0777,-0.0336,0.009,-0.0019,0.0,-0.0001,0.0837,0.3362,0.5581,0.2331,0.022,0.5727,0.5129,0.7738,0.1568,0.7015,0.5415,2
Santo Antônio da Barra,GO,0.0,-0.0785,-0.0619,0.0053,-0.0288,0.0,0.0,0.4572,0.343,0.6345,0.3905,0.2553,0.7696,0.7849,0.7597,0.3078,0.4045,0.7164,9
Santa Terezinha de Goiás,GO,0.0,-0.0812,-0.1247,0.0,-0.142,-0.0215,0.0,0.4747,0.3438,0.5075,0.2738,0.3706,0.5551,0.4896,0.7479,0.2219,0.7474,0.6239,4
Baliza,GO,0.0,-0.0906,-0.0353,0.0003,-0.0178,0.0,0.0,0.5678,0.4507,0.3307,0.0843,0.1398,0.3339,0.3228,0.4431,0.0498,0.3609,0.361,3
Ivolândia,GO,0.0,-0.0849,-0.0475,0.0003,-0.0296,-0.0001,0.0,0.5696,0.3979,0.4152,0.1253,0.2323,0.4622,0.5015,0.5433,0.094,0.5266,0.5886,6
Santo Antônio do Descoberto,GO,0.0,-0.0848,-0.0024,0.0093,-0.0131,0.0,0.0061,0.586,0.5949,0.2272,0.0917,0.2099,0.2782,0.3405,0.2814,0.0546,0.2745,0.3655,2
Bom Jardim de Goiás,GO,0.0,-0.0899,-0.0538,0.0,-0.0339,-0.0012,0.0,0.4555,0.3898,0.4012,0.1307,0.2223,0.3691,0.3275,0.5718,0.0554,0.3852,0.341,4
Jandaia,GO,0.0,-0.0793,-0.0578,0.003,-0.0377,0.0,0.0,0.512,0.3663,0.5582,0.3022,0.3193,0.7194,0.7675,0.7313,0.2119,0.5888,0.7085,9
Santo Antônio de Goiás,GO,0.0,-0.0822,-0.0328,0.0093,-0.0328,0.001,0.0,0.7681,0.4849,0.5673,0.2626,0.3625,0.6512,0.7108,0.6572,0.1248,0.6533,0.7155,7
Bom Jesus de Goiás,GO,0.0,-0.0799,-0.0725,0.0058,-0.0291,0.0,0.0,0.4677,0.2978,0.7417,0.4151,0.2511,0.8702,0.8809,0.8747,0.2586,0.3492,0.7296,9
Itumbiara,GO,0.0,-0.0802,-0.0583,0.0058,-0.0276,0.0,0.0,0.5073,0.3328,0.6654,0.3272,0.2512,0.8009,0.8248,0.8052,0.1744,0.5151,0.6359,8
Bela Vista de Goiás,GO,0.0,-0.08,-0.0242,0.0099,-0.032,0.0,0.0,0.7265,0.4463,0.5582,0.21,0.377,0.6634,0.7389,0.6925,0.094,0.5089,0.7595,1
Santa Bárbara de Goiás,GO,0.0,-0.0817,-0.0506,0.0082,-0.0448,0.0016,0.0,0.7785,0.493,0.6359,0.396,0.437,0.7397,0.7944,0.7814,0.3122,0.6406,0.7915,6
Rubiataba,GO,0.0,-0.0873,-0.0678,0.0,-0.0529,-0.0027,0.0,0.6616,0.5031,0.4398,0.122,0.3412,0.5051,0.6267,0.5392,0.048,0.5705,0.6413,4
Sanclerlândia,GO,0.0,-0.0837,-0.0726,0.0005,-0.0515,0.0001,0.0,0.6802,0.4575,0.6234,0.1901,0.406,0.7134,0.7565,0.8075,0.1,0.8179,0.8562,5
Itapaci,GO,0.0,-0.0869,-0.0621,0.0,-0.0463,-0.0044,0.0,0.5845,0.4429,0.3738,0.1683,0.2768,0.4617,0.5401,0.4717,0.1145,0.4866,0.4974,4
Santa Helena de Goiás,GO,0.0,-0.0785,-0.0758,0.0058,-0.0302,0.0,0.0,0.4046,0.3881,0.758,0.4288,0.2636,0.8732,0.88,0.8703,0.253,0.2827,0.7336,9
Brasília,DF,0.0,-0.086,-0.0033,0.0137,-0.0143,0.0,0.0114,0.6342,0.5317,0.3058,0.1086,0.2556,0.3598,0.3719,0.3684,0.04,0.1835,0.3883,5
